tanto	0.0009937888198757764
mais	0.015900621118012423
que	0.09440993788819876
o	0.11428571428571428
governo	0.0072049689440993785
apostar	0.14881987577639752
numa	0.009440993788819876
'grande	0.0002484472049689441
campanha	0.0034782608695652175
demagógica	0.0002484472049689441
'	0.003229813664596273
,	0.2293167701863354
poderá	0.0012422360248447205
registar	0.0002484472049689441
alguma	0.0004968944099378882
adesão	0.0002484472049689441
(	0.01217391304347826
nomeadamente	0.0004968944099378882
quando	0.003975155279503106
recorre	0.0002484472049689441
à	0.010434782608695653
contraposição	0.0002484472049689441
propinas	0.0002484472049689441
--	0.003975155279503106
impostos	0.0002484472049689441
)	0.011925465838509317
e	0.07975155279503106
simultaneamente	0.0004968944099378882
tem	0.00546583850931677
vindo	0.0002484472049689441
a	0.10881987577639751
promover	0.0002484472049689441
uma	0.019130434782608695
'estratégia	0.0002484472049689441
de	0.13540372670807455
divisão	0.0007453416149068323
dos	0.021366459627329193
estudantes	0.0009937888198757764
do	0.07180124223602484
politécnico	0.0002484472049689441
ensino	0.0007453416149068323
superior	0.0004968944099378882
público	0.001987577639751553
privado	0.0004968944099378882
.	0.1498136645962733
apesar	0.002484472049689441
das	0.011925465838509317
dificuldades	0.0007453416149068323
com	0.034037267080745344
se	0.013664596273291925
debate	0.0004968944099378882
mantêm-se	0.0002484472049689441
limitações	0.0002484472049689441
anti-democráticas	0.0002484472049689441
sua	0.009440993788819876
actividade	0.0007453416149068323
como	0.014658385093167702
interdição	0.0002484472049689441
da	0.05341614906832298
organização	0.0007453416149068323
nas	0.010683229813664596
empresas	0.0009937888198757764
locais	0.0004968944099378882
trabalho	0.003229813664596273
pcfr	0.0002484472049689441
no	0.06409937888198758
futuro	0.0044720496894409935
refere	0.0004968944099378882
ao	0.011428571428571429
«	0.03204968944099379
avante	0.0002484472049689441
!	0.0007453416149068323
entre	0.004720496894409938
outras	0.0009937888198757764
propostas	0.0009937888198757764
coligação	0.0007453416149068323
alargamento	0.0002484472049689441
rede	0.0022360248447204968
pré-escolar	0.0002484472049689441
exige	0.0007453416149068323
construção	0.0007453416149068323
nova	0.003975155279503106
escola	0.0014906832298136647
secundária	0.0002484472049689441
defendendo	0.0002484472049689441
valorização	0.0004968944099378882
papel	0.0009937888198757764
freguesias	0.0004968944099378882
desenvolvimento	0.0022360248447204968
local	0.0009937888198757764
na	0.06409937888198758
luta	0.0009937888198757764
reivindicativa	0.0002484472049689441
populações	0.0002484472049689441
cdu/madeira	0.0002484472049689441
forte	0.002484472049689441
listas	0.0002484472049689441
para	0.051180124223602484
as	0.014161490683229814
dez	0.0004968944099378882
funchal	0.0004968944099378882
tendo	0.0004968944099378882
apresentado	0.0004968944099378882
os	0.01987577639751553
cabeças	0.0002484472049689441
lista	0.0007453416149068323
durante	0.0009937888198757764
encontro	0.0002484472049689441
candidatos	0.0004968944099378882
activistas	0.0002484472049689441
realizado	0.0007453416149068323
recentemente	0.0002484472049689441
núcleo	0.0004968944099378882
jcp	0.0007453416149068323
defende	0.0004968944099378882
jovens	0.001987577639751553
cidadãos	0.0007453416149068323
cultos	0.0002484472049689441
participativos	0.0002484472049689441
serão	0.0009937888198757764
futuros	0.0004968944099378882
terão	0.0007453416149068323
lugar	0.0007453416149068323
fundamental	0.0007453416149068323
sociedade	0.0004968944099378882
humana	0.0002484472049689441
justa	0.0002484472049689441
nessa	0.0009937888198757764
perspectiva	0.0004968944099378882
série	0.0002484472049689441
iniciativas	0.0004968944099378882
lançar	0.0004968944099378882
um	0.023850931677018634
aberto	0.0002484472049689441
pessoas	0.001987577639751553
não	0.018633540372670808
escondem	0.0004968944099378882
pensam	0.0002484472049689441
sintam	0.0002484472049689441
vontade	0.0004968944099378882
manifestarem	0.0002484472049689441
opinião	0.0002484472049689441
cdu	0.001987577639751553
vai	0.00422360248447205
desistir	0.0002484472049689441
ideia	0.0002484472049689441
aumento	0.003229813664596273
eleitos	0.0002484472049689441
assembleia	0.0007453416149068323
municipal	0.002484472049689441
câmara	0.0022360248447204968
deslocar	0.0002484472049689441
penitenciária	0.0002484472049689441
fora	0.0004968944099378882
cidade	0.0012422360248447205
devolver	0.0007453416149068323
aquele	0.0007453416149068323
espaço	0.0009937888198757764
privilegiado	0.0002484472049689441
população	0.0014906832298136647
concelho	0.0004968944099378882
em	0.06037267080745341
vila	0.0007453416149068323
famalicão	0.0002484472049689441
juventude	0.0014906832298136647
candidata	0.0002484472049689441
presidência	0.0012422360248447205
jovem	0.0004968944099378882
carla	0.0002484472049689441
alexandra	0.0002484472049689441
barbosa	0.0002484472049689441
27	0.0002484472049689441
anos	0.0052173913043478265
educadora	0.0002484472049689441
infância	0.0004968944099378882
último	0.0004968944099378882
número	0.0014906832298136647
expresso	0.0002484472049689441
»	0.03354037267080745
manuel	0.0004968944099378882
alegre	0.0002484472049689441
num	0.004968944099378882
artigo	0.0002484472049689441
onde	0.0029813664596273293
aliás	0.0007453416149068323
define	0.0004968944099378882
homem	0.0004968944099378882
esquerda	0.0007453416149068323
diálogo	0.0007453416149068323
duas	0.0014906832298136647
principais	0.0007453416149068323
componentes	0.0004968944099378882
apela	0.0002484472049689441
real	0.0044720496894409935
abertura	0.0009937888198757764
pcp	0.0012422360248447205
continue	0.0002484472049689441
erigir	0.0002484472049689441
ps	0.0002484472049689441
inimigo	0.0004968944099378882
principal	0.001987577639751553
superar	0.0014906832298136647
certa	0.0002484472049689441
cultura	0.0007453416149068323
anti-socialista	0.0002484472049689441
nele	0.0007453416149068323
prevalece	0.0002484472049689441
partindo	0.0004968944099378882
